keys,es,en,pt
NPC_PESCADOR_L1,El mar estuvo tranquilo esta semana.,The sea has been calm this week.,O mar esteve calmo essa semana.
NPC_PESCADOR_L2,"Antes salíamos a pescar más lejos, antes de que cerraran el paso del este.","We used to fish farther out, before they closed the eastern passage.","Antigamente pescávamos mais longe, antes de fecharem a passagem do leste."
NPC_COMERCIANTE_NAME,Comerciante,Merchant,Comerciante
NPC_COMERCIANTE_L1,Bienvenido a Nix.,Welcome to Nix.,Bem-vindo a Nix.
NPC_COMERCIANTE_L2,"Si vas a salir por el este, llevate provisiones.","If you're heading out east, take supplies with you.","Se for sair pelo leste, leve provisões."
NPC_OSTIGADA_NAME,Ostigada,Ostigada,Ostigada
NPC_OSTIGADA_L1,"Este mesón lleva mi nombre por una razón, viajero.","This tavern carries my name for a reason, traveler.","Esta taverna leva meu nome por um motivo, viajante."
NPC_OSTIGADA_L2,"Sentate, comé algo, pero no preguntes qué hay en el sótano.","Sit down, eat something, but don't ask what's in the cellar.","Sente-se, coma algo, mas não pergunte o que tem no porão."
NPC_ALDEANO_NAME,Aldeano,Villager,Aldeão
NPC_ALDEANO_L1,Hay un guardián bloqueando el desfiladero al este.,There's a guardian blocking the pass to the east.,Há um guardião bloqueando o desfiladeiro a leste.
NPC_ALDEANO_L2,"Si lo derrotás, te voy a recompensar.","If you defeat it, I'll reward you.","Se você derrotá-lo, eu vou te recompensar."
NPC_ALDEANO_PROGRESS_L1,¿Ya te encargaste del guardián? Está más allá del desfiladero.,Have you dealt with the guardian yet? It's beyond the pass.,Você já cuidou do guardião? Ele está além do desfiladeiro.
NPC_ALDEANO_COMPLETED_L1,"¡Lo lograste! El camino está libre, gracias.","You did it! The path is clear, thank you.","Você conseguiu! O caminho está livre, obrigado."
QUEST_MAIN_BOSS_TITLE,El guardián del paso,The Guardian of the Pass,O guardião da passagem
QUEST_MAIN_BOSS_DESC,Viajá al desfiladero y derrotá al guardián que lo custodia.,Travel to the pass and defeat the guardian that watches over it.,Viaje até o desfiladeiro e derrote o guardião que o protege.
QUEST_MAIN_BOSS_OBJECTIVE,Derrotar al guardián,Defeat the guardian,Derrotar o guardião
QUEST_MAIN_BOSS_REWARD,El aldeano te recompensa por liberar el camino.,The villager rewards you for freeing the path.,O aldeão te recompensa por libertar o caminho.
QUEST_SIDE_GREET_TITLE,Un saludo en el camino,A greeting along the way,Uma saudação no caminho
QUEST_SIDE_GREET_DESC,Hablá con el aldeano cerca del primer claro.,Talk to the villager near the first clearing.,Fale com o aldeão perto da primeira clareira.
QUEST_SIDE_GREET_OBJECTIVE,Hablar con el aldeano,Talk to the villager,Falar com o aldeão
ITEM_ABILITY_DASH_NAME,Esencia del dash,Dash Essence,Essência da investida
ITEM_ABILITY_DASH_DESC,Te permite hacer un dash horizontal rápido.,Lets you perform a quick horizontal dash.,Permite fazer uma investida horizontal rápida.
ITEM_ABILITY_DOUBLEJUMP_NAME,Pluma del salto doble,Double Jump Feather,Pena do pulo duplo
ITEM_ABILITY_DOUBLEJUMP_DESC,Te permite saltar una segunda vez en el aire.,Lets you jump a second time in the air.,Permite pular uma segunda vez no ar.
ITEM_ABILITY_SPRINT_NAME,Botas veloces,Swift Boots,Botas velozes
ITEM_ABILITY_SPRINT_DESC,Te permiten correr manteniendo presionado sprint.,Let you run by holding down sprint.,Permitem correr mantendo pressionado o botão de corrida.
ITEM_HEAL_UPGRADE_NAME,Frasco de vida,Life Flask,Frasco de vida
ITEM_HEAL_UPGRADE_DESC,Aumenta en 1 la cantidad de curas que podés llevar.,Increases the number of heals you can carry by 1.,Aumenta em 1 a quantidade de curas que você pode carregar.
ITEM_LORE_NOTE_GUARDIAN_NAME,Nota desgastada,Worn Note,Nota desgastada
ITEM_LORE_NOTE_GUARDIAN_DESC,"""...el guardián del desfiladero no siempre fue un monstruo. Antes custodiaba el paso por voluntad propia...""","""...the guardian of the pass wasn't always a monster. It used to watch over the passage of its own will...""","""...o guardião do desfiladeiro nem sempre foi um monstro. Antes vigiava a passagem por vontade própria..."""
ITEM_RING_POWER_NAME,Anillo de poder,Ring of Power,Anel de poder
ITEM_RING_POWER_DESC,Aumenta tu poder de ataque en 5 puntos.,Increases your attack power by 5 points.,Aumenta seu poder de ataque em 5 pontos.
ITEM_RING_VITALITY_NAME,Anillo de vitalidad,Ring of Vitality,Anel de vitalidade
ITEM_RING_VITALITY_DESC,Aumenta tu vida máxima en 20 puntos.,Increases your maximum health by 20 points.,Aumenta sua vida máxima em 20 pontos.
